"Cubo: Brazil Competitive 3MIS - PSA"
"Colunas: Medidas (Nível4 - Contagem),Grupo de idade,Gênero"
"Linhas: Segmento PSA,Modelo substituído,Modelo PSA (2008,208,3008,308,408,Aircross,C3,C4 Cactus,C4 Lounge)"
"Ipsos RDA Quality Connection - CONFIDENCIAL"
"14/01/2020 07:39:09"

"Segmento PSA";"Modelo substituído";"Modelo PSA";"Nível4 - Contagem,[em branco],[em branco]";"Nível4 - Contagem,[em branco],Mulher";"Nível4 - Contagem,[em branco],Homem";"Nível4 - Contagem,Menos de 20,Mulher";"Nível4 - Contagem,Menos de 20,Homem";"Nível4 - Contagem,20-24,Mulher";"Nível4 - Contagem,20-24,Homem";"Nível4 - Contagem,25-29,Mulher";"Nível4 - Contagem,25-29,Homem";"Nível4 - Contagem,30-34,[em branco]";"Nível4 - Contagem,30-34,Mulher";"Nível4 - Contagem,30-34,Homem";"Nível4 - Contagem,35-39,Mulher";"Nível4 - Contagem,35-39,Homem";"Nível4 - Contagem,40-44,Mulher";"Nível4 - Contagem,40-44,Homem";"Nível4 - Contagem,45-49,Mulher";"Nível4 - Contagem,45-49,Homem";"Nível4 - Contagem,50-54,[em branco]";"Nível4 - Contagem,50-54,Mulher";"Nível4 - Contagem,50-54,Homem";"Nível4 - Contagem,55-59,Mulher";"Nível4 - Contagem,55-59,Homem";"Nível4 - Contagem,60-64,[em branco]";"Nível4 - Contagem,60-64,Mulher";"Nível4 - Contagem,60-64,Homem";"Nível4 - Contagem,65-69,Mulher";"Nível4 - Contagem,65-69,Homem";"Nível4 - Contagem,70-74,Mulher";"Nível4 - Contagem,70-74,Homem";"Nível4 - Contagem,75-79,Mulher";"Nível4 - Contagem,75-79,Homem";"Nível4 - Contagem,80 e mais,Mulher";"Nível4 - Contagem,80 e mais,Homem";
"Segmento B";"[em branco]";"208";2669;18;35;113;119;153;341;164;515;"";258;464;38;601;137;307;138;84;"";256;243;"";74;"";"";119;"";37;"";"";"";48;134;112;
"Segmento B";"[em branco]";"C3";2424;32;81;27;"";251;18;562;58;"";522;354;187;228;94;358;76;60;"";41;288;63;97;"";48;20;7;40;13;7;8;10;15;29;
"Segmento B";"AGILE";"208";"";"";"";"";"";"";"";21;"";"";20;"";"";"";"";"";29;23;"";"";"";"";"";"";"";"";"";"";"";15;"";"";"";"";
"Segmento B";"AGILE";"C3";"";"";"";"";"";"";"";"";"";"";106;"";"";"";"";"";16;"";"";"";"";50;"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"AIRCROSS";"208";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";37;"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"AIRCROSS";"C3";"";"";"";"";"";"";"";"";"";"";"";72;7;142;180;27;"";"";"";7;"";17;"";"";"";"";"";"";"";21;"";"";"";"";
"Segmento B";"AMAROK";"208";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";24;"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"ARGO";"208";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";11;"";"";"";"";"";"";"";"";
"Segmento B";"ASTRA_2";"208";"";"";"";"";"";"";"";4;"";"";"";4;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"ASTRA_2";"C3";"";"";"";"";"";"";"";"";"";"";"";"";37;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"AUDIA1";"208";"";"";"";"";"";"";"";"";"";"";"";15;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"AZERA";"208";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";81;"";"";"";"";"";"";"";"";
"Segmento B";"BMW_3";"208";"";"";"";"";"";"";91;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"BMW_X1";"208";"";"";"";"";"";"";"";"";"";"";"";"";"";97;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"BORA";"C3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";13;"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"BRAVO";"208";"";"";"";"";"";"";"";"";"";"";"";"";"";92;"";"";"";51;"";"";17;"";"";"";"";18;"";"";"";"";"";"";"";"";
"Segmento B";"BRAVO";"C3";"";"";"";"";"";"";"";"";"";"";"";"";"";15;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"C3_AIR";"208";"";"";"";"";"";"";"";"";"";"";"";20;"";"";34;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"C3_AIR";"C3";"";"";"";"";"";"";"";"";"";"";28;"";"";"";17;"";"";74;"";43;14;"";"";"";"";"";"";18;"";"";"";"";6;"";
"Segmento B";"CAPTIVA";"C3";"";"";"";"";"";"";"";"";"";"";"";"";"";31;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"CELTA";"208";"";"";"";"";"";"";"";14;18;"";"";187;"";"";"";35;"";"";"";"";"";24;"";"";"";"";"";"";"";"";"";"";"";"";
